Name,Age,Gender,Department,City,Attendance,StudyHours,Marks
Nathan,21.0,Male,CSE,Bangalore,60.0,1.0,90.0
Michael,,Female,IT,Pune,75.0,1.0,45.0
Kathleen,,Female,IT,Indore,,5.0,
Michael,20.0,Female,IT,Delhi,55.0,1.0,45.0
Jeffrey,22.0,Male,AI,Delhi,90.0,7.0,80.0
Keith,20.0,Female,DS,Mumbai,95.0,2.0,90.0
Benjamin,21.0,Male,AI,Pune,95.0,6.0,50.0
Tracy,21.0,Female,AI,Indore,75.0,5.0,80.0
William,,Male,AI,Bangalore,60.0,8.0,80.0
Cheryl,22.0,Female,IT,Mumbai,55.0,8.0,80.0
Sabrina,20.0,Male,AI,Mumbai,95.0,4.0,70.0
Steven,19.0,Female,CSE,Indore,65.0,5.0,85.0
Kurt,,Female,IT,Pune,,4.0,95.0
Brittney,21.0,Female,DS,Delhi,55.0,1.0,45.0
Tommy,,Male,CSE,Mumbai,,4.0,80.0
Timothy,,Female,CSE,Bangalore,55.0,2.0,55.0
Jesse,20.0,Male,DS,Mumbai,60.0,7.0,90.0
Jesse,,Female,IT,Mumbai,80.0,3.0,50.0
Jonathan,21.0,Male,IT,Indore,55.0,5.0,65.0
John,21.0,Female,CSE,Pune,80.0,6.0,65.0
Bryan,19.0,Female,CSE,Bangalore,90.0,,55.0
Heather,21.0,Female,CSE,Mumbai,60.0,7.0,90.0
Jessica,18.0,Male,DS,Bangalore,85.0,8.0,
Jill,22.0,Male,AI,Mumbai,95.0,3.0,60.0
Angela,,Male,IT,Mumbai,55.0,,70.0
Jonathan,19.0,Male,DS,Mumbai,70.0,7.0,65.0
Laurie,20.0,Male,DS,Indore,65.0,3.0,85.0
Shawn,21.0,Male,DS,Mumbai,80.0,2.0,90.0
Paul,21.0,Male,AI,Pune,75.0,5.0,60.0
Crystal,19.0,Male,IT,Pune,65.0,,95.0
Caitlin,21.0,Male,AI,Mumbai,70.0,1.0,75.0
Amanda,21.0,Male,IT,Mumbai,65.0,3.0,65.0
Beth,18.0,Female,DS,Indore,,3.0,70.0
Benjamin,22.0,Male,CSE,Mumbai,60.0,,85.0
